,Passage 1,Passage 2,Passage 3,Passage 4,,,,,,,,,,,,,,,,,,,,,
Day 1,1 John 1,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,1 John 2,,,,,,,,,,,,,,,,,,,,,,,,
Day 3,1 John 3,,,,,,,,,,,,,,,,,,,,,,,,
Day 4,1 John 4,,,,,,,,,,,,,,,,,,,,,,,,
Day 5,1 John 5,,,,,,,,,,,,,,,,,,,,,,,,
Day 6,GraceDay,,,,,,,,,,,,,,,,,,,,,,,,
Day 7,Lord'sDay,,,,,,,,,,,,,,,,,,,,,,,,
Day 8,Matthew 1,Matthew 2,,,,,,,,,,,,,,,,,,,,,,,
Day 9,Matthew 3,Matthew 4,,,,,,,,,,,,,,,,,,,,,,,
Day 10,Matthew 5,Matthew 6,,,,,,,,,,,,,,,,,,,,,,,
Day 11,Matthew 7,,,,,,,,,,,,,,,,,,,,,,,,
Day 12,Psalm 1,Proverbs 1,,,,,,,,,,,,,,,,,,,,,,,
Day 13,GraceDay,,,,,,,,,,,,,,,,,,,,,,,,
Day 14,Lord'sDay,,,,,,,,,,,,,,,,,,,,,,,,
Day 15,Matthew 8,Matthew 9,,,,,,,,,,,,,,,,,,,,,,,
Day 16,Matthew 10,Matthew 11,,,,,,,,,,,,,,,,,,,,,,,
Day 17,Matthew 12,Matthew 13,,,,,,,,,,,,,,,,,,,,,,,
Day 18,Matthew 14,,,,,,,,,,,,,,,,,,,,,,,,
Day 19,Psalm 146,Proverbs 2,,,,,,,,,,,,,,,,,,,,,,,
Day 20,GraceDay,,,,,,,,,,,,,,,,,,,,,,,,
Day 21,Lord'sDay,,,,,,,,,,,,,,,,,,,,,,,,
Day 22,Matthew 15,Matthew 16,,,,,,,,,,,,,,,,,,,,,,,
Day 23,Matthew 17,Matthew 18,,,,,,,,,,,,,,,,,,,,,,,
Day 24,Matthew 19,Matthew 20,,,,,,,,,,,,,,,,,,,,,,,
Day 25,Matthew 21,,,,,,,,,,,,,,,,,,,,,,,,
Day 26,Psalm 150,Proverbs 3,,,,,,,,,,,,,,,,,,,,,,,
Day 27,GraceDay,,,,,,,,,,,,,,,,,,,,,,,,
Day 28,Lord'sDay,,,,,,,,,,,,,,,,,,,,,,,,
Day 29,Matthew 22,Matthew 23,,,,,,,,,,,,,,,,,,,,,,,
Day 30,Matthew 24,Matthew 25,,,,,,,,,,,,,,,,,,,,,,,
Day 31,Matthew 26,Matthew 27,,,,,,,,,,,,,,,,,,,,,,,
Day 32,Matthew 28,,,,,,,,,,,,,,,,,,,,,,,,
Day 33,Psalm 45,Proverbs 4,,,,,,,,,,,,,,,,,,,,,,,
Day 34,GraceDay,,,,,,,,,,,,,,,,,,,,,,,,
Day 35,Lord'sDay,,,,,,,,,,,,,,,,,,,,,,,,
Day 36,Romans 1,Romans 2,,,,,,,,,,,,,,,,,,,,,,,
Day 37,Romans 3,,,,,,,,,,,,,,,,,,,,,,,,
Day 38,Romans 4,,,,,,,,,,,,,,,,,,,,,,,,
Day 39,Romans 5,,,,,,,,,,,,,,,,,,,,,,,,
Day 40,Psalm 14,Proverbs 5,,,,,,,,,,,,,,,,,,,,,,,
Day 41,GraceDay,,,,,,,,,,,,,,,,,,,,,,,,
Day 42,Lord'sDay,,,,,,,,,,,,,,,,,,,,,,,,
Day 43,Romans 6,Romans 7,,,,,,,,,,,,,,,,,,,,,,,
Day 44,Romans 8,,,,,,,,,,,,,,,,,,,,,,,,
Day 45,Romans 9,Romans 10,,,,,,,,,,,,,,,,,,,,,,,
Day 46,Romans 11,,,,,,,,,,,,,,,,,,,,,,,,
